City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
556,Changji,CN,44.0167,87.3167,50.79,25,0,6.71,clear sky
557,Wanning,CN,18.8003,110.3967,84.2,76,100,6.15,overcast clouds
558,Benguela,AO,-12.5763,13.4055,70.68,86,26,2.28,scattered clouds
559,Warrington,GB,53.3925,-2.5802,59.11,88,100,14.97,overcast clouds
560,Viransehir,TR,37.2353,39.7631,72.14,29,0,8.48,clear sky
561,Lata,PT,40.1629,-8.3327,55.92,57,1,2.84,clear sky
562,Ouallam,NE,14.3188,2.0866,83.41,62,3,13.65,clear sky
563,Aklavik,CA,68.2191,-135.0107,23.99,93,50,7.94,scattered clouds
564,Port Augusta,AU,-32.5,137.7667,86.07,33,79,20.4,broken clouds
565,Broome,US,42.2506,-75.833,48.67,77,0,4.61,clear sky
566,Tongliao,CN,43.6125,122.2653,47.21,17,0,15.84,clear sky
567,Jalu,LY,29.0331,21.5482,68.67,73,0,8.48,clear sky
568,Hornepayne,CA,49.2138,-84.7705,50.47,83,94,7.72,overcast clouds
569,Pisco,PE,-13.7,-76.2167,60.85,82,100,9.22,overcast clouds
570,Saint-Georges,GD,12.0564,-61.7485,79.66,83,100,8.16,overcast clouds
571,Sulangan,PH,11.1373,123.7228,84.43,70,55,3.31,broken clouds
572,Seymchan,RU,62.8833,152.4333,26.87,78,100,12.19,overcast clouds
573,Lethem,GY,3.3803,-59.7968,77.27,73,68,3.58,broken clouds
574,Husavik,IS,66.0449,-17.3389,43.97,91,96,6.55,overcast clouds
575,Sol-Iletsk,RU,51.1631,54.9918,45.99,32,81,11.25,broken clouds
576,Casablanca,MA,33.5928,-7.6192,62.82,69,0,4.09,clear sky
577,Samfya,ZM,-11.3649,29.5565,66.07,45,7,6.93,clear sky
578,Pitimbu,BR,-7.4706,-34.8086,72.19,78,70,8.95,broken clouds
579,Manono,CD,-7.3,27.4167,69.71,82,28,1.88,scattered clouds
580,Yumen,CN,40.2833,97.2,50.94,33,0,21.81,clear sky
581,Itacarambi,BR,-15.1022,-44.0919,75.34,67,59,2.55,broken clouds
582,Malmo,SE,55.6059,13.0007,50.92,91,14,1.99,few clouds
583,Shelburne,CA,44.0787,-80.2041,42.76,79,84,2.35,broken clouds
584,Swedru,GH,5.5371,-0.6998,72.19,98,59,3.47,broken clouds
585,Madera,US,37.1666,-119.8343,77.97,49,0,4.65,clear sky
586,Darhan,MN,49.4867,105.9228,38.98,30,7,3.58,clear sky
587,Cooma,AU,-36.2333,149.1333,64.33,40,91,4.21,light rain
588,Saint Cloud,US,45.5608,-94.1625,62.74,68,0,3.0,clear sky
589,Kalabo,ZM,-14.97,22.6814,64.6,25,0,6.17,clear sky
590,Camacupa,AO,-12.0167,17.4833,63.21,63,5,1.83,clear sky
591,Masallatah,LY,32.6167,14.0,70.54,73,2,7.94,clear sky
