City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Acapulco,MX,2022-10-02 05:04:10,16.8634,-99.8901,76.82,94,100,0.0
1,Lazarev,RU,2022-10-02 05:04:10,52.225,141.5131,51.28,71,100,27.31
2,Puerto Ayora,EC,2022-10-02 05:04:10,-0.7393,-90.3518,63.55,99,99,3.0
3,Punta Arenas,CL,2022-10-02 05:04:11,-53.15,-70.9167,37.11,74,1,5.41
4,Port Alfred,ZA,2022-10-02 05:04:11,-33.5906,26.891,63.36,80,56,5.32
5,Katsuura,JP,2022-10-02 05:04:12,35.1333,140.3,77.07,58,54,11.36
6,Castro,BR,2022-10-02 05:04:12,-24.7911,-50.0119,54.5,95,5,1.81
7,Torbay,CA,2022-10-02 05:04:13,47.6666,-52.7314,53.76,88,100,12.66
8,Lebu,CL,2022-10-02 05:04:13,-37.6167,-73.65,50.61,87,88,5.37
9,Ngoro,ID,2022-10-02 05:04:14,-7.6839,112.258,91.58,51,69,8.37
10,Klaksvik,FO,2022-10-02 05:04:14,62.2266,-6.589,50.92,82,99,28.01
11,Saskylakh,RU,2022-10-02 05:04:15,71.9167,114.0833,29.86,95,100,14.34
12,Plast,RU,2022-10-02 05:04:15,54.3691,60.8136,44.31,47,99,12.62
13,Rikitea,PF,2022-10-02 05:04:15,-23.1203,-134.9692,73.62,72,2,12.3
14,Bethel,US,2022-10-02 05:04:16,41.3712,-73.414,60.03,55,100,8.01
15,Kibre Mengist,ET,2022-10-02 05:04:16,5.8833,38.9833,60.46,89,100,1.34
16,Hermanus,ZA,2022-10-02 05:04:17,-34.4187,19.2345,56.8,76,10,8.34
17,Hambantota,LK,2022-10-02 05:04:17,6.1241,81.1185,89.94,62,40,19.57
18,Bengkulu,ID,2022-10-02 05:04:17,-3.8004,102.2655,81.61,78,100,6.93
19,Huaiyin,CN,2022-10-02 05:00:13,33.5886,119.0192,99.64,30,49,10.87
20,Bathsheba,BB,2022-10-02 05:04:18,13.2167,-59.5167,80.8,80,15,14.36
21,Paamiut,GL,2022-10-02 05:04:18,61.994,-49.6678,36.86,69,100,7.18
22,Ushuaia,AR,2022-10-02 05:01:40,-54.8,-68.3,30.24,91,50,3.76
23,Dingle,PH,2022-10-02 05:04:19,10.9995,122.6711,87.53,68,99,9.31
24,Nyagan,RU,2022-10-02 05:04:19,62.1406,65.3936,35.56,68,100,9.6
25,Sao Gabriel Da Cachoeira,BR,2022-10-02 05:04:20,-0.1303,-67.0892,71.92,99,100,2.24
26,Vallenar,CL,2022-10-02 05:04:20,-28.5708,-70.7581,60.21,55,0,1.54
27,Ribeira Grande,PT,2022-10-02 05:04:21,38.5167,-28.7,71.58,91,100,25.46
28,Ilulissat,GL,2022-10-02 05:00:18,69.2167,-51.1,30.22,74,99,1.14
29,Biloela,AU,2022-10-02 05:00:10,-24.4167,150.5,75.47,45,83,6.24
30,Alegrete,BR,2022-10-02 04:59:55,-29.7831,-55.7919,52.65,89,0,7.38
31,Atbasar,KZ,2022-10-02 05:04:21,51.8,68.3333,38.28,40,4,7.85
32,Mataura,NZ,2022-10-02 05:03:43,-46.1927,168.8643,47.48,56,17,2.77
33,Buala,SB,2022-10-02 05:03:07,-8.145,159.5921,83.95,68,31,3.51
34,Pathein,MM,2022-10-02 05:04:22,16.7833,94.7333,84.02,80,90,9.86
35,Hofn,IS,2022-10-02 05:03:15,64.2539,-15.2082,46.98,80,100,8.88
36,Korla,CN,2022-10-02 05:04:22,41.7597,86.1469,57.72,15,98,16.22
37,Bambous Virieux,MU,2022-10-02 05:04:23,-20.3428,57.7575,75.22,67,97,12.1
38,Vestmannaeyjar,IS,2022-10-02 05:04:23,63.4427,-20.2734,47.73,81,100,34.0
39,Warrnambool,AU,2022-10-02 05:04:24,-38.3833,142.4833,58.68,66,40,8.12
40,Batangafo,CF,2022-10-02 05:04:24,7.3008,18.2833,70.23,96,98,2.77
41,Lakhipur,IN,2022-10-02 05:04:25,26.0299,90.3041,81.86,84,100,1.41
42,Cockburn Town,TC,2022-10-02 05:04:25,21.4612,-71.1419,83.08,79,95,17.87
43,Faya,SA,2022-10-02 05:04:25,18.3851,42.4509,68.52,43,2,0.6
44,San Cristobal,VE,2022-10-02 05:04:26,7.7669,-72.225,66.38,90,55,2.08
