City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
432,Biak,ID,83.52,scattered clouds,-0.9131,122.8766,Penginapan Kim
433,Blackwater,AU,82.87,clear sky,-23.5833,148.8833,Blackwater Motor Inn
440,Apache Junction,US,81.25,clear sky,33.4151,-111.5496,"Motel 6 Apache Junction, AZ"
444,La Palma,US,75.9,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
445,Dondaicha,IN,83.25,broken clouds,21.3333,74.5667,Mahavir Farm House
448,Godda,IN,77.74,overcast clouds,24.8333,87.2167,HOTEL TUSH TAYA RESIDENCY
450,Port-Gentil,GA,77.18,light rain,-0.7193,8.7815,Fengshui Residence
452,Miri,MY,82.29,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
457,Ugoofaaru,MV,79.9,light rain,5.6667,73.0,Ungoofaaru Inn
460,Naze,JP,78.44,scattered clouds,28.3667,129.4833,Shishime Hotel
469,Mongo,TD,75.16,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
472,Oranjestad,AW,83.97,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
477,Benjamin Hill,MX,77.2,clear sky,30.1667,-111.1,Hotel Benjamín Hill
478,Sun City,US,81.16,few clouds,33.5975,-112.2718,Days Hotel by Wyndham Peoria Glendale Area
483,San Policarpo,PH,85.24,broken clouds,12.1791,125.5072,Agapita M. Nicart
485,Trairi,BR,77.99,scattered clouds,-3.2778,-39.2689,janelas do mar
486,Sydney,AU,76.75,clear sky,-33.8679,151.2073,The Grace Sydney
488,Bouloupari,NC,76.91,few clouds,-21.8667,166.05,Oua-Ya Lodge
491,Bakel,SN,81.84,scattered clouds,14.905,-12.4568,Ablaye Diallo Bakel
493,Muisne,EC,75.18,overcast clouds,0.6,-80.0333,Quinta Samay
495,Guiong,PH,86.86,broken clouds,6.4186,122.0258,"Mosque Buli Buli , Sumisip"
496,San Pedro,PH,89.31,scattered clouds,14.35,121.0167,Palines Apartment and Guesthouse
498,Katobu,ID,87.87,broken clouds,-4.9408,122.5276,La Ode Husein
501,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
502,Dingle,PH,86.67,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
508,Turbat,PK,80.83,clear sky,26.0023,63.044,Mubashar Quarters
513,Tamayo,DO,77.2,overcast clouds,18.3947,-71.2029,La perla Del Caribe
514,Champerico,GT,80.46,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
515,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
521,Seybaplaya,MX,77.41,clear sky,19.65,-90.6667,sala de fiesta san Rafael
535,Les Cayes,HT,78.3,overcast clouds,18.2,-73.75,Villa Orphee
537,Bom Jesus Da Lapa,BR,79.14,clear sky,-13.255,-43.4181,Hotel das Nações
541,Tanete,ID,88.97,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
551,Garh Maharaja,PK,88.95,clear sky,30.8339,71.9053,Zaki Pansar Shop
557,Wanning,CN,84.2,overcast clouds,18.8003,110.3967,Paradise Hotel
564,Port Augusta,AU,86.07,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
570,Saint-Georges,GD,79.66,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
571,Sulangan,PH,84.43,broken clouds,11.1373,123.7228,Maia's Beach Resort
573,Lethem,GY,77.27,broken clouds,3.3803,-59.7968,Savannah Inn
581,Itacarambi,BR,75.34,broken clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
597,Natividad,PH,88.86,broken clouds,16.0443,120.7987,Arcana Motel
599,Lumban,PH,88.12,overcast clouds,14.2976,121.4589,Caliraya Resort Club
601,Bucerias,MX,80.58,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
604,Banda Aceh,ID,82.71,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
606,Kayankulam,IN,81.19,overcast clouds,9.1833,76.5,Hotel Indraprastha
612,Amahai,ID,83.77,broken clouds,-3.3333,128.9167,HOTEL ISABELA
613,Karratha,AU,83.43,clear sky,-20.7377,116.8463,ibis Styles Karratha
615,Wewak,PG,87.24,few clouds,-3.5534,143.6268,In Wewak Boutique Hotel
617,Conakry,GN,78.87,broken clouds,9.538,-13.6773,Riviera Royal Hotel
621,Paka,MY,85.86,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
637,Acajutla,SV,78.15,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
642,Myitkyina,MM,86.47,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
656,Isabela,PH,87.85,broken clouds,6.7085,121.9711,Isawad Resort
659,Chor,PK,84.88,clear sky,25.5167,69.7667,Asad U Bajeer Hotel
665,Hobyo,SO,77.61,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
667,Hirara,JP,81.72,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
669,Pasighat,IN,77.2,overcast clouds,28.0667,95.3333,Siang Guest House
676,Itoman,JP,87.4,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
678,Auki,SB,85.53,overcast clouds,-8.7676,160.7034,Auki Motel
680,Davila,PH,87.78,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
